ville,quartier,type_bien,surface_habitable,nb_pieces,nb_chambres,etage,ascenseur,etat,annee_construction,balcon,terrasse,parking,chauffage,classe_energie,distance_centre,distance_transport,score_commerces,date_mise_vente,prix
Reims,Centre,Appartement,80.55952629729819,4,4.0,2,0,Très bon,1961.0,0,1,,Individuel électrique,D,12.153932233475011,325.1455498550086,3.0,2023-08-26,222252.50755614368
Paris,Saint-Germain,Appartement,84.57283924787092,3,2.0,3,1,Correct,2000.0,0,1,0.0,Individuel électrique,C,1.5275192536852178,902.2566533735411,7.0,2023-10-30,1011310.3714285617
Toulouse,Centre,Appartement,89.08853919110848,3,2.0,5,1,À rénover,,0,0,,Pompe à chaleur,,3.130436416876317,19.856418515884762,1.0,2022-10-13,239763.15808683445
Angers,Nord,Studio,27.405840608666953,1,1.0,2,0,Bon,2011.0,1,0,2.0,Pompe à chaleur,E,1.2990533135149078,876.8528063973815,2.0,2023-09-20,92840.95495120896
Le Havre,Sud,Appartement,95.7444414081389,3,2.0,1,0,Bon,1999.0,1,0,0.0,Individuel électrique,E,3.6257585778610597,235.86937098007178,8.0,2021-05-30,202831.84328763612
Nice,Centre,Appartement,93.8207392924329,4,3.0,5,1,Bon,1975.0,0,0,0.0,Individuel gaz,D,5.227625447453818,65.93928778600791,,2022-03-20,541596.7199935724
Strasbourg,Nord,Appartement,89.60215589550998,4,4.0,3,0,Bon,1999.0,1,0,1.0,Collectif,B,5.442660018387429,203.2757379259498,4.0,2023-05-16,359150.35139082855
Paris,Saint-Germain,Maison,214.95797366064903,4,3.0,0,0,Correct,1906.0,0,0,,Individuel gaz,D,20.07367700471095,279.03160354931043,,2020-05-14,1305494.305010028
Marseille,Joliette,Appartement,72.81753096766957,3,2.0,6,1,À rénover,1933.0,0,0,,,D,7.621900911657041,278.80237478009167,1.0,2020-02-08,161687.9730274179
Lyon,Part-Dieu,Appartement,56.80199193087775,2,2.0,1,0,Bon,1989.0,1,0,1.0,Individuel électrique,C,5.201257105950427,300.9745943987127,3.0,2021-03-13,291828.15504325466
Bordeaux,Ouest,Maison,207.43198000336855,4,3.0,0,0,Très bon,1854.0,1,0,2.0,Individuel gaz,D,5.436711316401857,229.00744205194133,3.0,2021-11-12,827062.1268545259
Lille,Sud,Maison,153.1167989319984,4,2.0,0,0,Bon,1853.0,1,0,1.0,Individuel électrique,D,8.655642421020396,30.316207800583506,10.0,2023-10-08,342770.4420587309
Angers,Ouest,Appartement,51.21166012247353,2,2.0,5,1,Bon,1958.0,1,0,,Collectif,E,6.816776950651289,342.73939460317314,4.0,2022-08-30,136458.65409526363
Nantes,Nord,Appartement,65.96248260107467,3,3.0,1,0,Correct,2008.0,0,0,0.0,Collectif,D,3.5016636535631016,354.6823659527692,9.0,2022-04-15,196853.40160460593
Lille,Sud,Appartement,80.05486024670117,4,2.0,3,1,Bon,2021.0,0,0,0.0,Collectif,C,6.27549271162744,137.65047511740684,5.0,2023-10-06,253252.80813944168
Marseille,Prado,Duplex,165.62589557507857,4,3.0,1,0,Bon,1984.0,1,0,0.0,Individuel électrique,,6.675369180171177,,4.0,2020-04-29,571185.0288171507
Montpellier,Nord,Appartement,84.7881149087658,4,3.0,0,0,Correct,2018.0,0,0,2.0,Individuel gaz,C,12.44164937673839,19.996441050726467,,2020-09-15,246258.70100155615
Dijon,Centre,Maison,214.62751451631107,5,5.0,0,0,Correct,2006.0,1,0,1.0,Individuel gaz,,5.0079675580696446,7.458530006653586,9.0,2023-04-06,507081.00001992454
Montpellier,Nord,Appartement,93.30877107562887,3,2.0,4,1,Bon,1933.0,0,0,0.0,Individuel électrique,E,4.418038855933631,119.44690670140446,1.0,2023-11-10,301458.70106573956
Lyon,Vieux-Lyon,Maison,188.2034390195771,6,5.0,0,0,À rénover,1961.0,0,0,0.0,Individuel électrique,D,3.0981297604548748,270.69049338802364,9.0,2021-12-15,558814.9754699193
Angers,Sud,Appartement,71.27737294951899,3,2.0,3,1,Correct,,1,1,1.0,,G,2.6932883246565655,,1.0,2022-11-08,168228.33340973276
Nantes,Sud,Appartement,58.654599527818625,2,1.0,3,0,Très bon,1922.0,0,0,1.0,Pompe à chaleur,D,11.344672135359371,273.54950393607714,7.0,2022-02-26,205633.45470234405
Strasbourg,Est,Maison,288.32808205946174,4,,0,0,Bon,1949.0,0,0,1.0,Individuel gaz,B,3.46960220791075,99.12816461173975,5.0,2022-06-29,822420.5177782306
Lyon,Presquîle,Appartement,66.42043698407605,3,3.0,3,1,Correct,,0,0,,Collectif,E,3.7646919106485446,195.57873425523292,5.0,2023-02-05,338098.807436833
Angers,Nord,Appartement,70.91245171628222,4,2.0,2,0,Bon,1953.0,1,0,1.0,Individuel gaz,D,11.347470925508008,218.48064047680145,9.0,2023-04-26,167266.94495150007
Rennes,Centre,Maison,170.2403518543242,5,,0,0,Très bon,2015.0,0,0,1.0,Collectif,B,5.301619791602711,145.73436466711323,2.0,2023-12-27,761033.1870442233
Lille,Ouest,Duplex,103.7645402853575,6,4.0,4,0,Très bon,1961.0,0,0,0.0,Individuel gaz,D,4.960228954617392,469.82049744953605,,2021-10-08,330298.2322587657
Lyon,Vieux-Lyon,Appartement,88.30408188689657,3,2.0,0,0,Bon,1935.0,1,0,1.0,Individuel gaz,C,3.4805257331009174,53.64287680395667,9.0,2022-09-17,398088.556951439
Lille,Centre,Maison,154.6578457151938,7,6.0,0,0,Correct,1934.0,0,0,1.0,Individuel gaz,F,4.534882512533068,302.7685188625384,7.0,2021-04-25,349201.03094855486
Paris,Belleville,Duplex,109.80113736369381,5,4.0,5,1,Correct,1987.0,0,0,0.0,Collectif,E,3.8561199831638273,216.14776820358074,5.0,2020-04-03,930981.1147990943
Montpellier,Est,Studio,25.870451984824857,1,0.0,3,0,Correct,1956.0,1,0,0.0,Individuel électrique,D,17.06622483797428,,2.0,2020-04-23,60010.50385624486
Paris,Montmartre,Maison,162.2248018810929,5,,0,0,Bon,1938.0,1,0,0.0,Individuel électrique,E,4.582493173118694,,2.0,2022-03-04,1310218.0197642378
Bordeaux,Ouest,Studio,22.26184180562653,1,0.0,3,0,Correct,1988.0,0,0,2.0,Individuel gaz,D,3.369788691066399,101.89020071226518,5.0,2021-02-18,80991.43578043464
Rennes,Est,Appartement,53.34291191474744,3,2.0,0,0,Bon,1962.0,1,0,0.0,Individuel gaz,F,5.494222523106171,1090.8697372325573,4.0,2022-06-08,164771.78329474956
Nantes,Est,Maison,256.61347624892414,5,4.0,0,0,Très bon,2005.0,0,1,2.0,Collectif,E,5.661818906427483,247.8314450553022,2.0,2022-01-18,968731.79357671
Strasbourg,Ouest,Appartement,98.02946535341283,4,,1,0,Très bon,1974.0,0,0,1.0,Collectif,G,10.696594272876098,250.2164306529441,4.0,2022-10-31,270500.13563159737
Le Havre,Centre,Appartement,114.88144091278923,6,4.0,1,0,Très bon,2020.0,0,0,1.0,Individuel gaz,C,3.9029083434615437,1070.591519163202,10.0,2022-09-20,327930.39523706224
Lille,Est,Appartement,118.3116635885159,4,3.0,1,0,Correct,1957.0,0,1,1.0,Individuel gaz,E,14.19755606119148,333.6238404946273,7.0,2023-08-04,306727.6040548998
Strasbourg,Sud,Appartement,60.38687861216221,2,,8,1,Neuf,1944.0,1,0,0.0,Individuel électrique,C,9.663469085021902,290.4713386586955,1.0,2020-06-19,247305.04326778752
Lille,Est,Maison,242.2650501487724,4,3.0,0,0,Bon,1983.0,1,0,0.0,Collectif,C,1.8327730565163955,38.06517159032523,7.0,2021-03-01,661118.048715057
Marseille,Vieux-Port,Maison,224.52782686222903,4,3.0,0,0,Bon,,0,1,1.0,Individuel gaz,C,4.475806435027624,117.60755963154358,5.0,2022-02-03,1049346.9326532527
Lyon,Presquîle,Maison,161.92301616821078,4,2.0,0,0,Correct,1861.0,0,0,,Individuel électrique,E,6.419347187925913,169.35730051271034,10.0,2020-10-21,708182.9274926495
Bordeaux,Nord,Appartement,84.5459256454359,3,2.0,7,1,Neuf,1986.0,0,0,1.0,Collectif,F,2.3156510553237846,242.23708083574863,9.0,2020-02-20,386644.0559332418
Montpellier,Sud,Appartement,96.99431576327609,3,2.0,3,0,À rénover,1930.0,0,0,,Individuel gaz,C,6.648084988551526,373.2247202384675,7.0,2021-07-14,254686.22664674046
Le Havre,Centre,Maison,201.35016200398258,6,5.0,0,0,À rénover,,0,0,0.0,Individuel électrique,F,2.3974721690777585,191.4409249104956,,2021-12-30,235074.73389108334
Reims,Ouest,Duplex,114.9376670596821,6,5.0,1,1,Correct,1977.0,0,0,1.0,,G,3.4347879450605636,267.4669589921055,7.0,2022-12-15,238947.06324059068
Lille,Sud,Appartement,80.39135651097406,3,3.0,7,1,Bon,1915.0,0,0,,Individuel gaz,D,6.851244319788346,237.62182258881572,2.0,2021-08-27,240215.03422369662
Strasbourg,Sud,Appartement,87.40362415130795,3,2.0,5,1,Bon,1887.0,0,0,,Individuel électrique,,4.282973056209364,498.8624945275091,2.0,2023-11-30,251035.34956387163
Bordeaux,Ouest,Loft,108.32135595563187,4,3.0,0,0,Neuf,2009.0,0,0,0.0,Collectif,F,6.586065620994644,32.61950610450042,5.0,2020-01-31,567568.8818534666
Toulouse,Est,Appartement,90.21490275842851,4,3.0,3,1,Correct,2006.0,0,1,2.0,Pompe à chaleur,F,6.994677856984136,391.7278626051947,9.0,2023-07-04,278966.81967726507
Le Havre,Ouest,Loft,1200.0,5,3.0,4,0,Correct,1964.0,0,0,1.0,Individuel gaz,B,8.079109628711407,69.7408098529217,7.0,2020-05-05,225156.2846187479
Toulouse,Ouest,Maison,244.4007501281559,7,6.0,0,0,Bon,1904.0,1,1,0.0,Individuel gaz,G,8.945285603194378,301.1122850412969,2.0,2022-09-04,601928.9177679092
Paris,Belleville,Appartement,101.80457139937711,6,4.0,0,0,Correct,,0,0,1.0,Individuel électrique,C,3.175250050692979,,5.0,2021-02-06,887240.6894445627
Montpellier,Est,Appartement,97.60899432036331,4,2.0,0,0,Bon,1995.0,0,1,1.0,Pompe à chaleur,D,12.996038936458447,623.4046622327337,,2020-04-07,344314.6510688189
Dijon,Est,Appartement,85.67068539068968,3,1.0,3,1,À rénover,1985.0,1,0,,Individuel gaz,D,5.856124487593579,276.57364339025963,1.0,2021-05-31,166108.79394187915
Dijon,Est,Appartement,82.01274397271652,3,2.0,0,0,Bon,2008.0,0,0,1.0,,C,5.837659408710988,83.74220431992612,8.0,2020-05-08,182074.36963234242
Reims,Est,Loft,152.35222510408676,7,6.0,0,0,Très bon,1994.0,1,1,1.0,Collectif,B,3.4981638269918207,390.47977432317094,8.0,2023-08-14,631994.7518128048
Marseille,Endoume,Studio,22.75728740155472,1,1.0,1,0,Correct,,0,0,0.0,Individuel gaz,E,5.943670289977082,237.40657990835035,3.0,2021-04-26,83519.12603771928
Strasbourg,Nord,Maison,145.54206109872246,4,4.0,0,0,Correct,1953.0,1,0,2.0,Individuel électrique,E,6.698153656954976,,7.0,2023-10-21,363017.0611326946
Angers,Nord,Studio,37.629606921688925,1,,7,1,Correct,1984.0,1,0,1.0,Collectif,D,3.8765995263741067,456.6244190240811,4.0,2023-11-25,88472.3441353161
Reims,Centre,Appartement,76.20550607400446,15,2.0,5,1,Bon,1948.0,1,1,1.0,Individuel électrique,D,7.872778329625991,146.3449458271855,4.0,2023-10-22,232277.27925820387
Lyon,Vieux-Lyon,Maison,154.2121183007979,4,3.0,0,0,Bon,2008.0,0,0,0.0,Individuel électrique,E,2.263055428809302,470.2434899730372,1.0,2022-04-13,540371.8160856595
Lyon,Vieux-Lyon,Maison,228.4166330785436,4,2.0,0,0,Très bon,,0,1,1.0,Collectif,G,10.707972802799953,96.73398312330214,4.0,2022-01-04,902430.5783754609
Strasbourg,Ouest,Studio,32.417055957688135,1,0.0,3,1,Neuf,,1,0,,Individuel électrique,F,3.698242586972669,167.0385195200322,9.0,2023-05-02,135261.36517126334
Angers,Est,Appartement,84.4749874925573,4,3.0,3,1,Neuf,1880.0,1,0,,Individuel gaz,D,0.18505367674852508,177.10757314850844,7.0,2022-02-26,330400.33636143594
Nantes,Est,Maison,229.90879840213813,5,5.0,0,0,Correct,1913.0,1,0,0.0,Individuel gaz,E,6.1743138791815255,11.384474502849141,4.0,2023-06-30,525502.6861379173
Marseille,Endoume,Loft,114.53991087362363,6,5.0,4,1,Bon,1917.0,1,0,1.0,Pompe à chaleur,C,6.731960800722096,251.74213704583278,8.0,2020-01-24,577180.1967558273
Bordeaux,Nord,Appartement,134.50063924397563,5,5.0,3,1,Très bon,1953.0,1,0,1.0,Collectif,D,9.476619120950774,304.1101713529234,8.0,2023-05-16,599926.8567105188
Lille,Ouest,Appartement,58.61823014430253,2,1.0,0,0,Bon,,0,0,1.0,Individuel gaz,G,10.288276456144633,506.5420798525817,6.0,2022-09-07,153364.56945362053
Angers,Centre,Maison,228.0477761807703,6,5.0,0,0,Très bon,,1,0,1.0,Individuel gaz,D,6.6111752711743765,561.4482158652002,7.0,2023-07-28,559280.1891203036
Dijon,Est,Appartement,67.07926421942194,3,3.0,5,1,Bon,1942.0,0,1,0.0,Individuel gaz,D,12.83785685167198,235.62994264805732,,2020-03-23,164216.3350207057
Le Havre,Sud,Maison,218.48301955241735,7,6.0,0,0,Bon,1943.0,0,1,1.0,Collectif,C,3.432041512287219,128.91179939098623,6.0,2020-11-15,447816.23405115504
Nantes,Centre,Duplex,100.93538939666539,6,5.0,0,0,À rénover,1965.0,1,0,0.0,Individuel électrique,D,5.380278843029239,59.28842242685361,2.0,2022-07-08,279418.3849739364
Lille,Centre,Maison,127.67657107682186,5,4.0,0,0,À rénover,2006.0,1,1,0.0,Collectif,C,4.951725831744641,240.2979801293545,,2020-07-22,252305.4301433336
Lille,Ouest,Maison,219.22105367833458,4,2.0,0,0,Bon,1996.0,1,0,0.0,Collectif,E,3.3039312074800566,261.2112001180483,3.0,2020-08-01,547001.619199419
Nantes,Nord,Maison,162.1288027340952,4,4.0,0,0,Bon,2010.0,0,1,0.0,Collectif,F,12.142344504632222,374.1001722626729,10.0,2020-09-26,431901.5549788877
Paris,Belleville,Appartement,53.666484252453735,2,0.0,3,1,Bon,2022.0,0,0,0.0,Pompe à chaleur,E,5.017815763940286,674.5549230746365,5.0,2020-10-30,410332.3910160501
Toulouse,Sud,Appartement,101.86424890321013,4,3.0,6,1,Correct,1857.0,1,0,0.0,,B,2.4128314449061397,,5.0,2020-11-26,316611.6981130894
Lille,Centre,Loft,124.8385623996629,4,3.0,0,0,Très bon,1988.0,0,1,0.0,Individuel électrique,D,18.07187204650277,154.56319363710966,9.0,2022-03-08,471811.3215136865
Nantes,Sud,Maison,162.00555250005587,4,3.0,0,0,Neuf,1913.0,1,0,0.0,Individuel gaz,,12.047907264824744,389.2831245854513,1.0,2023-11-12,572409.5731120632
Angers,Nord,Appartement,85.74986685487387,3,1.0,5,1,Bon,2016.0,1,1,0.0,,C,2.0511065823760757,301.45703915665354,6.0,2020-09-07,243331.86751100025
Nantes,Nord,Appartement,73.90569754842397,4,,0,0,Correct,1936.0,1,1,1.0,Individuel gaz,E,7.954338074672657,238.4722498958669,6.0,2021-05-31,1149958.5055250423
Rennes,Sud,Maison,165.05024889580025,4,,0,0,Correct,1954.0,0,0,1.0,Collectif,D,1.8418804098058073,108.99779243493678,8.0,2021-09-20,474927.4170750945
Reims,Est,Studio,40.42568017787818,1,0.0,10,1,Bon,2021.0,0,0,2.0,Collectif,E,1.9946949703819774,514.505055959447,8.0,2023-09-24,118639.47173056344
Nice,Nord,Studio,33.50334644818928,1,0.0,4,0,Neuf,2008.0,0,0,1.0,Individuel gaz,D,7.788842603431382,153.94956779609632,6.0,2023-11-27,216452.38899510461
Paris,Saint-Germain,Appartement,62.90032596053805,3,3.0,8,1,Bon,,0,0,1.0,Individuel gaz,D,4.6734511576232425,570.2369030590692,1.0,2020-03-13,695737.0304857278
Montpellier,Centre,Duplex,118.18721889623743,4,3.0,4,1,Très bon,1882.0,1,0,1.0,Individuel électrique,C,3.6136762645755742,6.151669642135968,3.0,2021-12-18,585537.9062655935
Nice,Sud,Maison,211.61835564649567,5,4.0,0,0,Bon,2002.0,0,1,2.0,Individuel gaz,,8.927725151576631,525.6552660069834,8.0,2021-05-29,882844.4431862192
Reims,Sud,Maison,138.06370448373957,6,5.0,0,0,Bon,1899.0,0,0,1.0,Individuel électrique,E,2.0687283616653813,318.4692019470813,7.0,2020-12-14,271025.00318033
Reims,Ouest,Maison,233.82605355220113,4,2.0,12,0,Bon,2006.0,0,1,0.0,Individuel gaz,C,2.893463429421815,257.7742168376204,3.0,2022-10-16,465795.44312152953
Reims,Nord,Appartement,81.2971627865551,4,4.0,1,0,Bon,,0,0,1.0,Individuel gaz,G,8.458791565978247,,10.0,2021-03-20,156812.71934243888
Nice,Est,Duplex,121.77915133791431,5,5.0,7,1,Très bon,1866.0,1,0,1.0,Individuel électrique,E,5.595466701616411,,5.0,2023-10-15,722292.183096875
Strasbourg,Est,Appartement,80.65037598832798,3,2.0,4,0,Bon,1935.0,0,1,,Individuel gaz,B,13.555783918247096,114.53755502597524,5.0,2022-09-04,246745.7811795832
Toulouse,Ouest,Appartement,123.3321472879523,4,3.0,3,1,Neuf,1866.0,0,0,,Individuel électrique,C,3.404420033008855,179.3544714520416,1.0,2021-09-12,611935.0730033683
Nantes,Est,Studio,31.127356590694333,1,,2,0,Très bon,1900.0,0,0,0.0,Collectif,E,8.861474257254102,185.91329952246306,9.0,2020-04-25,89604.54316671984
Le Havre,Sud,Maison,162.47761369330192,6,5.0,0,0,Très bon,1973.0,0,0,0.0,,C,8.736099106783303,259.47945380082797,1.0,2022-01-10,222491.58225114737
Toulouse,Ouest,Studio,29.92830483894356,1,0.0,1,0,Très bon,1992.0,1,0,1.0,,A,4.24336099806246,208.80987702496657,8.0,2022-02-16,132108.22707821874
Dijon,Centre,Maison,219.1955050609033,5,4.0,0,0,Bon,1968.0,1,0,1.0,Pompe à chaleur,D,3.62184352540313,128.74346870091793,9.0,2023-02-16,516617.5454042941
Angers,Nord,Appartement,91.98061799200664,3,2.0,3,0,Très bon,1959.0,0,0,2.0,Individuel électrique,C,3.9940971252992226,,4.0,2022-06-14,264055.36227067205
Marseille,Prado,Loft,118.80201688304922,7,6.0,2,0,Neuf,,1,0,1.0,,C,10.222588501047674,217.5123755719433,4.0,2022-10-28,579817.9681020654
Strasbourg,Nord,Appartement,143.9507348933159,6,5.0,6,1,Très bon,1938.0,0,0,0.0,Individuel électrique,E,7.882667752458138,,4.0,2023-02-24,436327.05561218975
Montpellier,Sud,Loft,135.17758914987496,6,5.0,0,0,Correct,1978.0,1,0,2.0,Individuel électrique,D,4.240377820140074,237.29490187598017,9.0,2020-07-19,619822.8555547975
Toulouse,Centre,Appartement,60.93061367743673,3,2.0,3,1,Très bon,2007.0,1,1,2.0,,F,3.45118764929463,509.2391900024054,1.0,2022-04-28,282196.640064733
Le Havre,Ouest,Studio,18.828487110462586,1,0.0,6,1,Bon,1961.0,1,0,2.0,Individuel gaz,C,14.95504405258796,473.9123663700643,,2020-06-17,50000.0
Lyon,Confluence,Appartement,92.3434306872999,4,3.0,0,0,Bon,2016.0,1,0,1.0,Individuel gaz,C,12.956821257679113,186.60469992823863,5.0,2021-12-23,383658.564660226
Reims,Nord,Maison,165.01943182959604,4,2.0,0,0,Neuf,1886.0,0,0,2.0,Individuel électrique,D,10.15349942564792,377.4363181270448,4.0,2021-11-09,316994.35429018224
Lille,Centre,Loft,85.81468253320199,4,3.0,1,0,Bon,2003.0,0,1,,Individuel électrique,,10.31490476262821,78.37278073395065,10.0,2023-07-06,322902.44937535026
Dijon,Centre,Maison,171.78381557097026,6,5.0,0,0,Correct,,1,1,1.0,Individuel électrique,B,4.2262575462820715,446.995651916635,4.0,2021-03-19,514827.645168736
Marseille,Vieux-Port,Studio,39.2395363969253,1,0.0,0,0,Correct,2008.0,1,1,0.0,,D,7.294128267096529,52.8020635976393,10.0,2023-03-24,156241.46899004196
Paris,Belleville,Studio,29.584316956509543,1,0.0,3,1,Correct,2014.0,1,0,0.0,Pompe à chaleur,E,6.105181773392422,282.2538134581861,10.0,2022-09-08,221674.54770117588
Montpellier,Est,Studio,30.80992805208835,1,0.0,2,0,Correct,1989.0,1,0,1.0,Collectif,C,3.81935904033125,292.0216466524086,8.0,2020-12-29,117285.61414384207
Angers,Nord,Loft,76.43342339521917,3,2.0,8,1,Bon,1954.0,0,0,1.0,Individuel gaz,C,6.498092651039638,150.63079530568152,6.0,2022-07-15,222589.27206677018
Marseille,Vieux-Port,Appartement,92.40004446343409,3,2.0,4,1,Neuf,1966.0,0,0,2.0,Individuel électrique,B,3.693123066973524,277.69460800836777,1.0,2021-08-12,651699.2037812088
Reims,Centre,Appartement,50.41494480116904,2,0.0,3,1,Très bon,,0,0,1.0,Collectif,C,0.5577947557504301,329.1982748098171,4.0,2021-06-10,176839.90390843738
Lille,Ouest,Appartement,65.89234717371292,2,,7,1,Correct,1966.0,0,0,0.0,Individuel électrique,D,24.920768864504865,97.61769952210611,9.0,2023-07-26,113674.04008294696
Strasbourg,Ouest,Appartement,83.32100178885753,3,2.0,1,0,Bon,,0,1,2.0,Pompe à chaleur,E,5.976404049574878,267.84518453825325,1.0,2020-10-22,307632.05395443493
Lille,Nord,Appartement,62.57064449502095,3,2.0,3,0,Très bon,1997.0,1,0,0.0,Collectif,D,3.808637282473033,331.4487948237722,9.0,2021-03-07,213528.47792792332
Nice,Centre,Maison,153.39222234490566,6,5.0,0,0,Bon,1858.0,1,0,0.0,Individuel gaz,C,6.24083231938904,102.93943114592038,,2023-05-18,752301.8824506958
Lille,Nord,Appartement,54.33584062023025,2,1.0,3,0,Neuf,1922.0,0,0,0.0,Individuel électrique,B,1.1300237060776444,284.27036051587277,10.0,2021-06-22,212645.9250988182
Nice,Ouest,Appartement,82.23695907371336,4,2.0,0,0,Neuf,,1,0,1.0,Collectif,D,5.134627961031554,118.05607172607127,3.0,2023-08-04,495021.8425278559
Dijon,Ouest,Appartement,84.10833806263918,4,2.0,7,1,Correct,1986.0,1,0,2.0,Individuel électrique,G,8.801091364541866,253.2326643442634,2.0,2023-02-03,192270.6809768965
Strasbourg,Est,Studio,31.568772933494678,1,0.0,5,1,Très bon,,0,0,1.0,Individuel électrique,C,4.137912911915515,141.58025986923684,8.0,2020-03-03,119440.12783857001
Angers,Nord,Maison,110.15395763036582,4,2.0,0,0,Bon,1950.0,1,1,2.0,Collectif,C,3.8423734252585158,22.797376358890837,8.0,2020-11-30,274172.4729291807
Bordeaux,Nord,Appartement,48.17618552499601,2,1.0,7,1,Bon,1966.0,0,0,1.0,Individuel gaz,E,7.993129360019635,,6.0,2021-07-20,185713.2669500297
Reims,Centre,Loft,148.9163653067565,4,4.0,9,1,Très bon,1978.0,0,0,2.0,Individuel gaz,C,2.0142021105931813,182.05638870705187,8.0,2022-01-12,128550.0853482273
Nice,Centre,Appartement,69.58989593436254,3,1.0,3,1,Très bon,2012.0,1,0,0.0,Individuel gaz,B,9.421486654655254,487.7755340648408,8.0,2021-01-17,406611.66691774566
Paris,Belleville,Duplex,215.56375484904945,4,,6,1,Bon,,0,0,,Collectif,G,7.282935196792853,576.3867653878087,4.0,2022-09-29,1828110.419505354
Lille,Sud,Maison,185.8418649849604,4,,0,0,Très bon,1955.0,0,1,0.0,Individuel gaz,C,4.712325870084927,387.26823605132944,9.0,2022-09-03,521607.12267892563
Lille,Sud,Appartement,133.6078462248442,4,4.0,3,0,Neuf,1996.0,0,1,0.0,Individuel électrique,C,10.601721421722806,,1.0,2021-12-23,516581.3351046252
Paris,Saint-Germain,Maison,168.3509651060516,7,5.0,0,0,Très bon,2004.0,1,0,0.0,Individuel gaz,C,6.60178390557817,277.7039551191814,1.0,2020-10-29,1997840.9441726003
Angers,Nord,Studio,26.880137932420617,1,1.0,8,1,À rénover,1972.0,0,0,0.0,,G,10.996396248097689,177.5096126947085,2.0,2022-06-02,50000.0
Lyon,Vieux-Lyon,Appartement,92.75274967456659,4,4.0,1,0,Très bon,1946.0,0,0,1.0,Individuel électrique,E,4.330237061484519,751.366709825092,7.0,2023-12-05,497835.81992010475
Dijon,Ouest,Loft,156.98248060886144,5,5.0,0,0,Très bon,2017.0,1,0,1.0,Individuel gaz,E,4.243198911832544,121.38791678416628,9.0,2020-10-21,542226.6447190585
Nantes,Nord,Appartement,73.33211974709782,4,3.0,1,0,Neuf,1950.0,1,1,1.0,Collectif,B,3.39562389045165,326.83690898719,5.0,2023-07-08,429798.0737404762
Bordeaux,Nord,Appartement,91.84860583583126,3,,0,0,Très bon,,0,0,0.0,,E,9.031577071187002,269.99553419520976,,2022-11-16,408977.49678313086
Montpellier,Nord,Appartement,50.471086469513665,3,2.0,2,0,Très bon,1998.0,0,0,2.0,Individuel électrique,,2.563551578575207,113.06220223021482,3.0,2020-09-05,218551.34913221805
Le Havre,Est,Appartement,60.91064031935761,2,2.0,0,0,À rénover,,0,1,,,D,9.764854003734964,550.6753215519439,,2021-08-03,83132.17956969376
Nice,Nord,Appartement,86.56130048126413,3,2.0,1,0,Neuf,1851.0,1,0,1.0,,D,5.69863711448483,477.27840003693115,1.0,2022-04-04,564712.804436223
Paris,Marais,Loft,108.76332643331945,6,5.0,0,0,Correct,1954.0,1,0,2.0,Individuel gaz,D,6.498723754363034,96.92185558215691,3.0,2023-01-18,1323042.2732880868
Le Havre,Centre,Appartement,83.26226410388763,4,2.0,3,0,Très bon,1966.0,0,0,0.0,Pompe à chaleur,B,10.870213476469447,722.9622974670225,6.0,2022-02-21,185145.14826677967
Strasbourg,Ouest,Appartement,86.9708342751366,3,2.0,1,0,Neuf,1974.0,0,0,2.0,Collectif,D,2.369966893800041,270.77824488240816,2.0,2020-04-11,382705.8235250536
Angers,Est,Maison,202.78060925070207,4,3.0,0,0,À rénover,1958.0,1,0,0.0,Individuel électrique,D,4.513616122105249,160.8636221960599,,2020-03-02,260067.46355863102
Nice,Centre,Loft,148.0489661575901,4,4.0,3,1,Neuf,1916.0,1,0,0.0,Pompe à chaleur,D,4.757094586655599,43.836594734274236,5.0,2020-08-10,1308408.0818849758
Nantes,Est,Duplex,149.00468984618473,6,6.0,0,0,Très bon,1953.0,0,0,0.0,,D,7.872049196695338,98.37487126373934,1.0,2020-09-21,515985.4277872853
Le Havre,Est,Studio,22.897630211529496,1,0.0,3,0,Neuf,2003.0,0,0,1.0,Individuel gaz,D,5.074664119256113,254.79357149248833,10.0,2020-08-01,64169.76890757875
Strasbourg,Ouest,Duplex,114.10689729598329,4,,0,0,Correct,1952.0,0,0,0.0,,B,8.536729188036038,397.7554564702124,9.0,2020-07-22,328916.4775178181
Marseille,Joliette,Studio,29.39865870424998,1,,0,0,Très bon,1978.0,1,0,0.0,Individuel gaz,B,6.479998900538211,458.51859898972833,,2020-08-25,123153.57876965385
Reims,Nord,Duplex,116.84900502407417,5,3.0,2,0,Bon,1987.0,0,0,0.0,Individuel gaz,,3.0638124837528666,859.4783044428391,,2022-01-13,274374.24883186386
Lille,Est,Studio,1200.0,1,1.0,6,1,Correct,,0,0,0.0,Individuel gaz,E,8.342993456687225,773.0322329468853,7.0,2020-05-14,65273.823008224215
Marseille,Endoume,Appartement,77.14295534948192,4,3.0,5,1,Très bon,1969.0,0,0,2.0,Individuel électrique,E,3.8118847166075076,105.78093274245771,8.0,2022-04-06,334965.76101603213
Nice,Ouest,Appartement,65.12632418867139,2,1.0,8,1,Bon,1915.0,1,0,0.0,Individuel gaz,E,4.275963436770316,158.0870416385349,,2020-05-14,401554.97858623345
Nantes,Ouest,Maison,214.30090100524893,6,4.0,0,0,Très bon,2012.0,0,1,0.0,Individuel électrique,A,9.982814466539049,,1.0,2023-06-24,723666.6917819886
